    4.000  203.685
    4.010  201.505
    4.020  197.874
    4.030  196.459
    4.040  197.905
    4.050  187.057
    4.060  190.473
    4.070  176.968
    4.080  175.963
    4.090  165.439
    4.100  165.600
    4.110  153.203
    4.120  155.556
    4.130  149.144
    4.140  155.204
    4.150  143.419
    4.160  145.919
    4.170  137.418
    4.180  140.724
    4.190  131.581
    4.200  133.195
    4.210  120.338
    4.220  121.232
    4.230  112.367
    4.240  110.136
    4.250  106.414
    4.260  106.133
    4.270   97.352
    4.280   96.672
    4.290   95.161
    4.300   92.412
    4.310   91.131
    4.320   90.890
    4.330   85.786
    4.340   87.362
    4.350   83.188
    4.360   77.546
    4.370   73.334
    4.380   67.978
    4.390   64.557
    4.400   60.188
    4.410   59.263
    4.420   55.329
    4.430   52.123
    4.440   56.086
    4.450   55.082
    4.460   53.361
    4.470   53.332
    4.480   52.322
    4.490   51.085
    4.500   45.975
    4.510   41.271
    4.520   33.866
    4.530   30.426
    4.540   31.526
    4.550   28.419
    4.560   26.036
    4.570   24.194
    4.580   24.704
    4.590   22.269
    4.600   23.938
    4.610   17.961
    4.620   14.226
    4.630   16.271
    4.640   14.474
    4.650   15.811
    4.660   14.833
    4.670   14.432
    4.680    7.408
    4.690   10.138
    4.700    8.729
    4.710    6.234
    4.720    5.504
    4.730    1.611
    4.740   -3.453
    4.750   -4.260
    4.760    0.061
    4.770   -1.096
    4.780   -0.618
    4.790   -2.090
    4.800   -4.026
    4.810   -6.687
    4.820   -7.095
    4.830   -7.372
    4.840   -8.520
    4.850   -7.865
    4.860  -11.093
    4.870   -8.526
    4.880  -10.831
    4.890  -10.185
    4.900   -9.244
    4.910   -8.901
    4.920   -8.302
    4.930  -10.461
    4.940  -11.618
    4.950  -11.627
    4.960  -10.173
    4.970  -11.363
    4.980  -10.662
    4.990  -13.769
    5.000  -14.469
