    4.200   85.053
    4.210   75.140
    4.220   77.319
    4.230   74.482
    4.240   71.892
    4.250   68.167
    4.260   67.929
    4.270   59.264
    4.280   59.140
    4.290   60.435
    4.300   57.325
    4.310   55.909
    4.320   56.747
    4.330   53.652
    4.340   52.794
    4.350   52.604
    4.360   43.350
    4.370   39.640
    4.380   33.596
    4.390   31.680
    4.400   26.787
    4.410   25.750
    4.420   19.936
    4.430   17.556
    4.440   22.229
    4.450   23.074
    4.460   22.165
    4.470   23.930
    4.480   24.796
    4.490   25.449
    4.500   20.832
    4.510   16.358
    4.520    8.763
    4.530    7.810
    4.540    8.280
    4.550    5.978
    4.560    2.545
    4.570    0.962
    4.580    0.373
    4.590   -0.175
    4.600    0.525
    4.610   -3.942
    4.620   -6.958
    4.630   -4.978
    4.640   -6.121
    4.650   -3.209
    4.660   -2.918
    4.670   -2.195
    4.680   -8.707
    4.690   -7.467
    4.700   -7.643
    4.710  -11.259
    4.720  -11.227
    4.730  -15.345
    4.740  -19.735
    4.750  -21.966
    4.760  -17.863
    4.770  -17.863
    4.780  -18.009
    4.790  -17.255
    4.800  -18.330
